Date,^GSPC,^STOXX50E,^FCHI,NQ=F,^DJI,^N225
2021-08-06,4429.06982421875,4159.0400390625,6772.490234375,15167.75,35077.44140625,27709.220703125
2021-08-09,4437.77001953125,4175.56982421875,6818.5400390625,15090.25,35229.671875,
2021-08-10,4435.7900390625,4178.58984375,6817.6298828125,15128.75,35135.171875,27887.029296875
2021-08-11,4442.18017578125,4189.6298828125,6840.27978515625,15045.0,35300.890625,28045.83984375
2021-08-12,4446.080078125,4205.740234375,6861.43994140625,15008.5,35481.94140625,28177.19921875
2021-08-13,4464.83984375,4225.72998046875,6888.47998046875,15079.75,35551.55859375,28038.9609375
2021-08-16,4461.64990234375,4219.7900390625,6849.68017578125,15119.25,35490.828125,27806.109375
2021-08-17,4462.1201171875,4197.85009765625,6812.419921875,15131.5,35500.01171875,27666.939453125
2021-08-18,4440.93994140625,4197.31982421875,6824.64013671875,14970.25,35310.19921875,27418.080078125
2021-08-19,4382.43994140625,4183.740234375,6665.1201171875,14840.0,34874.671875,27398.580078125
2021-08-20,4410.56005859375,4125.2998046875,6602.9501953125,14943.25,34917.9609375,27238.44921875
2021-08-23,4450.2900390625,4160.759765625,6699.31982421875,15090.0,35160.96875,27193.099609375
2021-08-24,4484.39990234375,4182.68017578125,6717.77001953125,15327.0,35382.71875,27653.23046875
2021-08-25,4490.4501953125,4178.169921875,6683.18017578125,15362.25,35388.76953125,27768.130859375
2021-08-26,4493.75,4172.31982421875,6646.3701171875,15367.25,35449.6796875,27793.630859375
2021-08-27,4474.10009765625,4167.39013671875,6658.27001953125,15286.0,35231.109375,27581.240234375
2021-08-30,4513.759765625,4191.990234375,6690.27978515625,15432.75,35471.80078125,27867.599609375
2021-08-31,4529.75,4201.77001953125,6692.85009765625,15605.5,35391.37890625,27690.76953125
2021-09-01,4528.7998046875,4207.0,6736.43994140625,15599.5,35387.55078125,28179.0390625
2021-09-02,4534.47998046875,4225.02978515625,6753.18017578125,15610.0,35353.05859375,28522.4609375
2021-09-03,4532.419921875,4234.259765625,6758.3798828125,15601.0,35401.73046875,28626.48046875
2021-09-07,4535.3798828125,4244.39990234375,6731.35986328125,15656.0,35373.23828125,29883.919921875
2021-09-08,4518.08984375,4219.81982421875,6688.83984375,15671.0,35087.44921875,29819.55078125
2021-09-09,4513.02001953125,4171.4599609375,6618.81982421875,15610.0,35013.078125,29959.2109375
2021-09-10,4506.919921875,4184.0498046875,6707.330078125,15561.0,34949.58984375,30089.44921875
2021-09-13,4474.81005859375,4174.669921875,6688.77001953125,15452.5,34665.5,30372.01953125
2021-09-14,4479.330078125,4188.35009765625,6672.18994140625,15452.25,34906.8984375,30584.76953125
2021-09-15,4447.490234375,4188.919921875,6654.830078125,15395.5,34580.94921875,30464.169921875
2021-09-16,4477.08984375,4151.6298828125,6613.7099609375,15516.5,34810.26953125,30606.150390625
2021-09-17,4469.740234375,4180.27978515625,6679.4501953125,15502.75,34737.859375,30387.5390625
2021-09-20,4402.9501953125,4102.18994140625,6450.39013671875,15284.0,34459.71875,
2021-09-21,4374.4501953125,4049.68994140625,6513.75,14992.0,34025.609375,30021.25
2021-09-22,4367.43017578125,4104.43017578125,6612.10009765625,14992.75,34006.87109375,29744.73046875
2021-09-23,4406.75,4158.2099609375,6691.080078125,15178.25,34296.30078125,
